representation,representation_family,representation_kind,model,label_col,n_folds,mean_n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
random_non_ecm_programs_r8,random_non_ecm,gene_set_scores,logistic_regression,tissue,5,9.0,0.5115864527629232,0.009804417622272991,0.5802756371978225,0.009897488632462655,0.48828018945151214,0.0075403274305557485,0.512887903878054,0.012228208896817139
random_non_ecm_programs_r5,random_non_ecm,gene_set_scores,logistic_regression,tissue,5,9.0,0.5766233766233766,0.00491832020596194,0.5779618403725062,0.011065620393950036,0.5136676842078248,0.006498134522171901,0.5856185780127593,0.006540206851651505
random_non_ecm_programs_r4,random_non_ecm,gene_set_scores,logistic_regression,tissue,5,9.0,0.5587980646804176,0.004811688849068185,0.5609662927478568,0.010490139348334787,0.4951509745369046,0.008820982878740148,0.5765743578242349,0.00405219840814584
random_non_ecm_programs_r10,random_non_ecm,gene_set_scores,logistic_regression,tissue,5,9.0,0.5266106442577031,0.006423980059880234,0.5541461572280963,0.004768623939498816,0.48363659158769945,0.003484141191964945,0.5376398778386677,0.008561890471169446
random_non_ecm_programs_r6,random_non_ecm,gene_set_scores,logistic_regression,tissue,5,9.0,0.48026483320600966,0.006571677056564264,0.5372361621528458,0.00979879069119898,0.4651811385922285,0.006189679636048982,0.48244221787969127,0.008395899399028817
random_non_ecm_programs_r7,random_non_ecm,gene_set_scores,logistic_regression,tissue,5,9.0,0.5044563279857398,0.008535814412473867,0.5337877571137153,0.004468748786283446,0.46378706900819705,0.006791146337372884,0.519125311870399,0.009615086187127347
random_non_ecm_programs_r3,random_non_ecm,gene_set_scores,logistic_regression,tissue,5,9.0,0.46610644257703077,0.003840365168629256,0.5322611323978317,0.011336629516686805,0.4431459604184663,0.005705823399129176,0.473359094803753,0.0032079474412258966
random_non_ecm_programs_r2,random_non_ecm,gene_set_scores,logistic_regression,tissue,5,9.0,0.5083778966131908,0.003933785896068758,0.5284087054009865,0.009266858031290388,0.45569654504724866,0.00640533220747263,0.5208597660324534,0.004423599395406587
random_non_ecm_programs_r1,random_non_ecm,gene_set_scores,logistic_regression,tissue,5,9.0,0.4938120702826585,0.003153516797639464,0.5133489238902577,0.014979699642517443,0.43462512392567004,0.009880473702124774,0.5007129494504974,0.00197910999456607
random_non_ecm_programs_r9,random_non_ecm,gene_set_scores,logistic_regression,tissue,5,9.0,0.4730328495034377,0.007076446788334832,0.48216601995596786,0.00468968616513914,0.42092117999864864,0.004457959770865805,0.4864565062953886,0.008174178816535689
matrisome_pca9,matrisome_pca,pca9,residual_mlp,tissue,5,9.0,0.9558950853068499,0.0025485094989960546,0.9552342407234573,0.00460357366938712,0.9412143439174112,0.004303122738902706,0.9567744361495976,0.002448724357689041
curated_9_ecm_programs,curated_ecm,gene_set_scores,residual_mlp,tissue,5,9.0,0.9293099057804941,0.0025495270712062924,0.9249258006752822,0.006300778252886193,0.9044100626514675,0.006030092042786254,0.9310450375002144,0.00232714539955889
random_matrisome_programs_r5,random_matrisome,gene_set_scores,residual_mlp,tissue,5,9.0,0.8928953399541635,0.004250703664856683,0.8889487033516106,0.004639372755906643,0.8578456321397446,0.0038157535796276582,0.8960413837832283,0.004290694616041615
random_matrisome_programs_r6,random_matrisome,gene_set_scores,residual_mlp,tissue,5,9.0,0.9007894066717596,0.005020105538213064,0.8867426453462407,0.006290460046475794,0.8613238504450076,0.006865069148801775,0.9032767234278867,0.00484136453903936
random_matrisome_programs_r2,random_matrisome,gene_set_scores,residual_mlp,tissue,5,9.0,0.876394194041253,0.0028565935650379476,0.8803766890657435,0.0019908393150883494,0.854907843353026,0.0055408487391198705,0.8787131731436896,0.0020902796851684797
random_matrisome_programs_r4,random_matrisome,gene_set_scores,residual_mlp,tissue,5,9.0,0.8778202189966896,0.005091418156284691,0.8676268789093162,0.006901825332364501,0.8323744934159546,0.0059185609285025195,0.8811118869976446,0.0054598892335545116
random_matrisome_programs_r10,random_matrisome,gene_set_scores,residual_mlp,tissue,5,9.0,0.8560224089635854,0.009639805141275746,0.8658118016651104,0.008491117399287425,0.8247674072027437,0.01044517067093272,0.858602422516752,0.009120769513602125
random_matrisome_programs_r8,random_matrisome,gene_set_scores,residual_mlp,tissue,5,9.0,0.867736185383244,0.009158244682654021,0.8643375439491965,0.01198185301293142,0.8278111151189502,0.009528557453329273,0.8743273826856639,0.008761730584819653
random_matrisome_programs_r9,random_matrisome,gene_set_scores,residual_mlp,tissue,5,9.0,0.8703845174433409,0.004261064560906924,0.8633308671179367,0.005521072037737811,0.8286100226435312,0.006470043431969119,0.8736199473710522,0.004255585319458131
random_matrisome_programs_r1,random_matrisome,gene_set_scores,residual_mlp,tissue,5,9.0,0.8713521772345303,0.004759657343501356,0.8585315449757218,0.009217038761826345,0.8197365441421951,0.004102075999407865,0.8754107068995779,0.004458941908832529
random_matrisome_programs_r3,random_matrisome,gene_set_scores,residual_mlp,tissue,5,9.0,0.8536287242169595,0.003584652784266413,0.855323926585611,0.004850908571647402,0.817129658321376,0.002933320260795953,0.8586359517342237,0.003488255605385005
random_matrisome_programs_r7,random_matrisome,gene_set_scores,residual_mlp,tissue,5,9.0,0.8597911892029539,0.0024615321565764157,0.8458055637482829,0.005362155434968877,0.8124510915122807,0.005790156361922613,0.8631859963941688,0.0024713979358801062
random_non_ecm_programs_r4,random_non_ecm,gene_set_scores,residual_mlp,tissue,5,9.0,0.6519480519480518,0.011283376196858161,0.6357527579766898,0.012416963166771326,0.5769481223560924,0.01425644068866562,0.6680834379380634,0.010685029136583429
random_non_ecm_programs_r8,random_non_ecm,gene_set_scores,residual_mlp,tissue,5,9.0,0.6039724980901452,0.016164308636520255,0.627267603254281,0.011532573700148728,0.558097292020064,0.014148093844740622,0.6134732276495279,0.0156811310228295
random_non_ecm_programs_r6,random_non_ecm,gene_set_scores,residual_mlp,tissue,5,9.0,0.64654952890247,0.006147504711792774,0.6261770150081446,0.007685492947587076,0.5701618729331445,0.0033022238513772907,0.6617597354921873,0.007374062898910392
random_non_ecm_programs_r5,random_non_ecm,gene_set_scores,residual_mlp,tissue,5,9.0,0.6349885408708938,0.006541214915407102,0.6176461734435532,0.007080204680050641,0.567555852626254,0.006575276466244791,0.6475380790703531,0.005896396113869893
random_non_ecm_programs_r10,random_non_ecm,gene_set_scores,residual_mlp,tissue,5,9.0,0.6215940921823275,0.010933833305382758,0.6073400921558008,0.004786234457009967,0.5548113512477838,0.007951982252326543,0.633005416617425,0.008698569875459052
random_non_ecm_programs_r3,random_non_ecm,gene_set_scores,residual_mlp,tissue,5,9.0,0.5861471861471861,0.010904615236128203,0.6008114643085077,0.006693411587773633,0.5338670600338496,0.008758550484111708,0.6017081717329731,0.00898166930232469
